StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1.2,Q1.3_1,Q1.3_2,Q1.4,Q1.5,Q2.2_1,Q2.2_2,Q2.2_3,Q2.3_1,Q2.3_2,Q2.3_3,Q2.4_1,Q2.4_2,Q2.4_3,Q2.5_1,Q2.5_2,Q2.5_3,Q2.6_1,Q2.6_2,Q2.6_3,Q2.7,Q2.8,Q2.9,Q2.10,Q2.11,Q2.12,Q3.1,Q3.1_4_TEXT,Q3.2,Q3.2_4_TEXT,Q3.3,Q3.3_4_TEXT,Q3.4,Q3.4_4_TEXT,Q3.5,Q3.5_4_TEXT,Q3.6,Q3.6_3_TEXT,Q3.7,Q3.7_4_TEXT,Q3.8,Q3.8_3_TEXT,Q3.9,Q3.9_3_TEXT,Q3.10,Q3.11,Q3.12,Q3.13,Q3.14,Q4.1,Q4.1_4_TEXT,Q4.2,Q4.3,Q4.3_7_TEXT,Q4.4
2021-02-08 08:15:27,2021-02-08 09:21:49,0,100,3981,1,2021-02-08 09:21:49,R_2lyqMQ8ApgGCdY5,email,EN,2,1,28,12,Psychological Science,0,75,25,10,70,20,12,75,13,20,55,25,0,75,25,"When I was hired in 2007, I was very explicitly told that I would not be evaluated on my research.  This was one of the primary reasons I accepted this position.  My passion is teaching (and, to a lesser extent, service), which is why I was attracted to this position.  Then, after working here for several years, I was told that the rules had changed, and I was now expected to do research.  However, my teaching load (or service load) was not reduced in light of these increased research expectations.  My teaching load is very heavy – not only are we required to teach 7 courses per year, but each of my courses has at least 200 (but usually more like 300 or 400) students enrolled – and at least in my department, the administration typically does not allow me to teach the same course more than once in an academic year – meaning that I am teaching seven DIFFERENT courses throughout the year.  The amount of lecture/course prep that goes into maintaining all of these different courses is considerable.  On top of that, because I teach so many students, I am constantly writing letters of recommendation for students, which is extremely time consuming.  For example, during the period of Sept 2020 through Jan 2021, I wrote letters of recommendation for over FOURTY different students, most of whom were applying to at least 8 different schools.  In my discipline, each school requires recommenders to fill out a different form for the student and upload a unique letter (unlike law schools or med schools, which use a centralized system), which means that over the last few months, I have written/submitted over 320 letters of recommendation. Similarly, because I teach so many students, I am often the first choice for students to ask me to speak to their student organizations – and for faculty to ask for my help with their student issues and/or planning their courses.  I realize that I could say no to these requests – but isn’t that exactly what my position is supposed to be about?  Engaging with students and helping faculty with their teaching concerns?  Given all this (and given that considerable service I am doing for my department, the school, and the university), I have virtually NO time AT ALL during the regular school year to conduct research.  The only time I have to conduct research is over the summer and during sabbatical – but even then, a lot of my summer (and even some of my sabbatical) is taken up by the (compensated) service that I do in my role as the program director for the revenue-generating post-bacc program in my department.  Also, although I appreciate the sabbatical, I would be happy to forgo sabbatical if it meant that I weren’t required to produce research. In fact, I have been so disheartened by this push for teaching professors to conduct research that I have seriously considered looking into the possibility of requesting that I be moved to a part-time position (as I have heard that faculty are allowed to switch to part-time, if they take an associated pay cut).  I know that the school expects me to spent 10-15% of my time on research – so, if I could take a 10-15% pay cut and NOT be expected to do any research (but maintain the same teaching load and service expectations), that would be ideal.  I am happy to give up some money and my sabbatical if it means I can go back to what I was hired to do, which is teach (and do service).  ",7,6,4,"Several years ago, shortly after Diane O'Dowd announced that teaching professors would be expected to conduct research, I attended a meeting (run by Diane O'Dowd) that all of the teaching professors were invited to.  During that meeting, Diane explicitly stated that research would be not be required for a merit review but that it WOULD be required for a promotion.  I took that information seriously and even informed everyone in my department that this was the expectation.  Several years later (in 2018), I had a 3-year merit review that went through CAP, for which my department chair and my dean both wrote that they would have supported an acceleration for me if such a thing existed for my position (which - at the time - it did not, given that we did not have steps yet).  Even though the chair and dean were talking about an acceleration in their letters, CAP was voting on a simple merit for me (seeing as we didn't have accelerations for my position at the time).  During this review period, I won multiple teaching awards (including a diversity-related award), I had outstanding service (including directing a successful, revenue-generating program), and I was a co-author (at 10% contribution) on a journal article in a very high impact journal.  Although I realize that a 10% contribution is one article is not very much, it was my understanding (based on that meeting held by Diane O'Dowd) that research was not required for a standard merit - only for a promotion.  So, in my mind, I was doing MORE than I was required to do with respect to research during that review period (seeing as I did more than nothing).  However, THREE members of CAP voted me for to get a ""no action"" for that review.  Ultimately, they were outvoted, and my merit was approved - but there seems to be a major disconnect when my chair and dean are arguing that I should get an acceleration while 3 members of CAP argue that I should get a no action on a standard merit.  The bottom line is that I can't do outstanding teaching and outstanding service (with my current teaching and service load) AND ALSO do high-quality (or even mediocre-quality) research.  Something has to give.  I realize that I could just put less effort into my teaching and/or into my service (such that I  could ""phone it in"" a bit more with my courses and/or I could say no to service more often) in order to make room for research - but that seems really, really wrong, given that I was hired for teaching and service, I am great at it, and I want to do it.  The university is filled with amazing research professors who have the time (and passion and talent) to conduct and produce outstanding, high-quality research.  Let them focus on what they are great at, and let me focus on what I am great it.  Who does it benefit for me to have to reduce the quality or quantity of my teaching and service in order to make room for me to conduct mediocre research?  Please just let us focus on what we were hired for, what we love to do, and what our students (and departments) need from us!",9,4,"I have never asked to do this, so I don't know - but I wouldn't even want to attempt it!  My  courses are very large, usually 300-400 students, so stacking my classes like that would result me in having more than 1,000 student in a quarter.  That is just not do-able.",2,,2,,1,,1,,2,,1,,1,,1,,2,2,In my courses and as the director of the psych science post-bacc program,"Through the professional facebook & instagram accounts that I manage.  I post lots of information and opportunities on there about jobs, grad school, psychology, etc. - and I know that a lot of alum (and even a fair number of people who are not associated with UCI) follow those pages.  (I have over 2,000 followers on my facebook page and over 400 followers on my instagram page).",1,1,,2,6,,2
2021-02-08 08:18:14,2021-02-08 09:22:22,0,100,3847,1,2021-02-08 09:22:23,R_1js4z3QevtMpLoW,email,EN,2,1,39,5,Computer Science,0,80,20,10,80,10,20,70,10,25,70,5,5,85,10,"These questions are hard to answer. In the same way a tenure-track faculty can have varying levels within the categories, the same should be applied to teaching faculty. If a faculty is excelling in their teaching, then less performance in research or service should be accepted (as long as they are doing some of each). If minimal effort/quality teaching level is accepted for research faculty who bring in large amounts of funding or is highly visible, then a minimal amount of research should also be acceptable for teaching faculty who are excelling in the courses that they are teaching or handling very large courses with strong teaching evals. ",6,5,3,"All courses should not be counted equally! 4 unit courses should not be counted in the same fashion as 6 unit courses - there is more content, more prep, and more support, or 2 unit courses (in the opposite fashion).  Additionally, a metric is needed for course size (possibly based on average course size in a discipline). The support overhead for a course of 400 is much higher than for a 200 person, which is higher than 20-50 and 100.  
",7,3,,4,Depends on the current course scheduler,2,,3,,2,,2,,4,Its not clear. No teaching faculty in the school has taken a sabbatical,3,Depends on the definition of  supported. The department allows for autonomous teaching of courses for all faculty.,2,,3,4,"Serving on Senate committee(s) and supporting campus teaching initiatives through participation in DTEI events, and bringing the knowledge back to the department faculty","Through the education and mentorship of students in my courses. ",1,1,,2,2,,2
2021-02-08 09:27:44,2021-02-08 09:47:57,0,100,1212,1,2021-02-08 09:47:57,R_3L6b1KOpo1Okae5,email,EN,1,4,36,6,,5,85,10,20,70,10,30,60,10,25,70,5,20,70,10,"During the quarter, research drops down to nearly 0%. Nearly all of my research is done during the summer months, when I am not being paid, because I am unable to apply for grants that would allow me to make up summer salary. ",7,6,2,"Workload is dependent on the number of unique courses taught, and the number of new courses that fall to the Professors of Teaching (majority of new courses are offloaded onto us). During a quarter where new courses are taught, research falls to nearly zero. This combined with the fact that we don't have time to apply for grants during the year to make up for our summer salaries means that we are effectively ""volunteering"" our time during the summer just to make up for research that doesn't get done during the school year, or we are forced to teach summer school classes to make up that portion of our salaries (in which case research remains near zero). While the department level is usually fairly understanding, these contributions will fall short during tenure or promotion to full professor reviews, because there is a lack of understanding at a campus (or external review) level of the different department-level expectations. ",8,2,,"2,4",It really depends on the academic year and the needs of the department,2,,3,,2,,2,,"3,4",I feel that it would be difficult to take a sabbatical due to the sheer number of courses taught and the strain this would put on the department,1,,1,,2,3,"Undergraduate teaching/advising. ",NA,1,1,,2,6,,2
2021-02-08 09:30:05,2021-02-08 09:48:24,0,100,1098,1,2021-02-08 09:48:25,R_1IQNnfOPJ1YEZOM,email,EN,1,4,40,13,,10,75,15,25,55,20,20,55,25,20,60,20,20,60,20,,7,6,1,,7,2,,1,,2,,1,,2,,2,,3,,1,,1,,3,4,Teaching and mentoring undergraduate students in large classes and individual study.,Serving as a peer reviewer of publications.,1,2,,2,6,,2
2021-02-08 09:41:14,2021-02-08 10:10:10,0,100,1736,1,2021-02-08 10:10:11,R_2aWuPDewGz11VlK,email,EN,2,1,33,6,Earth System Science,5,80,15,10,80,10,20,70,10,20,70,10,5,80,15,"My department did not hire me for my research ability and therefore has much higher expectations of my teaching. We are usually the ones asked to design new classes. However it is hard to know whether we are being evaluated on ""research"" or ""professional activity"" and what falls under this category - the lines between teaching, research, and service are much more blurred and different people have different opinions!",7,6,2,The teaching load question varies a lot based on what classes are assigned. For example I teach 7 different classes each year whereas some teaching professors might teach the same class multiple times. In our department we are also usually the ones tasked with creating new classes which is a MUCH larger amount of work. There have only been 1 year in the 8 years of teaching when I have not been creating or teaching a new class (or redesigning to be online last year/this year). This dramatically reduces the amount of time I have available for professional activity and research given long-term service commitments and necessary service commitments for students e.g. writing letters of rec.,7,3,,2,,1,,3,,2,,2,,3,,1,,1,,1,3,"In the quality of the student experience - this could include teaching individual classes well, influencing the teaching of other (especially new) faculty, helping advocate for undergrads within faculty meetings and dept decision-making, helping redesign our majors, targeting service to undergrad related issues, being a faculty that our majors get to know well so that I can advise students and write reference letters, helping train our grad students in pedagogy to teach better but also so that they can succeed as future faculty.","This is much harder. I have ended up taking on a larger role than I initially expected as a Board member and now Vice-President of a local environmental non-profit. This was to network with local environmental professionals and to create greater education/research opportunities for our students but has taken over a bit more time than expected. I am also not clear if this is actually valued by the university? I provide my teaching materials to others when asked. Without greater partnerships with education researchers, I suspect that my service/teaching have a more significant impact than any research I can do which ends up being very specific to our specific major or classes which, unlike general chemistry/bio/physics/math, varies a lot from college to college for env science. Conference participation is hard when teaching, especially in classes without a TA during a brief 10-week quarter and I can rarely justify it.",1,1,,2,6,,2
2021-02-08 10:07:07,2021-02-08 10:13:49,0,100,402,1,2021-02-08 10:13:49,R_20OFUnhJCI0mP3a,email,EN,2,1,33,12,,5,90,5,10,80,10,10,80,10,10,80,10,30,60,10,,7,5,4,,10,2,,2,,2,,2,,2,,"2,3",Too many courses,2,,2,,2,,5,4,Campus-wide service,"I'm not, I'm just keeping my head above water given my course load.",1,1,,2,6,,1
2021-02-08 10:43:47,2021-02-08 11:07:15,0,100,1408,1,2021-02-08 11:07:16,R_2q31hfMdaDfOXKa,email,EN,2,1,35,3,Pharmaceutical Sciences,5,70,25,25,50,25,25,50,25,25,50,25,20,70,10,"Not sure about any but the first and last questions. I feel that my service commitment is too large (may be due to the new pharmacy school) and I would like to spend more time on research. Also, the numbers above are skewed due to your inclusion of research supervision of undergraduates under the Teaching component, rather than the Research component. ",6,6,1.5,,5,4,"My guess is yes, but I have never asked",4,"My guess is yes, but I have never asked",4,"I believe that I would be allowed to teach any class we offer. However, there is some expectation that certain classes would be taught by me.",1,,3,,1,,3,,1,,1,,1,2,"Being responsible for our undergraduate program. ","I believe that I have some recognition in my research field (aging). ",1,2,,2,6,,2
2021-02-08 11:17:00,2021-02-08 11:43:33,0,100,1593,1,2021-02-08 11:43:34,R_1mgQ2qs0RNMh9um,email,EN,1,1,39,5,Computer Science,10,70,20,5,80,15,5,80,15,15,70,15,15,70,15,"If this survey was asking about hours/week instead %, my teaching load will eat up most of the 40hr/week.",6,5,3,"I believe main problem is not the number of courses, but the teaching load. For that goal, we should consider number of course-units, students enrolled, undergrad/grad, lower/upper division and other possible factors that can determine the teaching workload.",9,1,,1,,1,,1,,1,,2,,1,,1,,1,,2,2,Service," discipline-specific research",1,2,,2,6,,2
2021-02-08 11:28:04,2021-02-08 11:52:12,0,100,1447,1,2021-02-08 11:52:12,R_1rwfdGWM0SnvtRA,email,EN,3,1,28,8,,2,95,3,0,90,10,0,90,10,34,33,33,5,90,5,"I answered this on the basis of what I understood to be the case BEFORE the ""professor of teaching"" happened. Even though my answer to ""what do I think the campus wants"" reflects my current understanding, I do  not agree with it, nor do I agree that this standard should be applied retroactively to those who came up for merit last year (as the ""old"" standard was supposed to apply through 2023. I do NOT agree with the unfair manner in which merits were denied last year on the basis of a new standard that was not made clear to the relevant faculty.",3,3,3,I also teach one or two one-on-one directed research seminars each semester. So do about half of the professors (research rank and SOE),5,4,We get sabbaticals in the same way that ladder faculty do,2,,2,,1,,3,,2,,1,,1,,1,,4,3,Teaching 1L students,"I don't have time to make an impact, because I never understood ""impact"" as being a requirement for external activities. I don't even know what ""impact"" means in this context.",1,1,,2,6,,2
2021-02-08 11:47:24,2021-02-08 11:57:01,0,100,576,1,2021-02-08 11:57:02,R_2tAm5KtgtPgNwyQ,email,EN,2,1,38,6,Chemistry,9,59,32,5,80,15,30,50,20,30,50,20,5,80,15,"I think that the university/CAP should be more open to allowing intensive pedagogy and service to reduce required research loads if the home department pushes for this. Its very difficult to make both department and university happy, which is required for successful promotions when they disagree. The campaign to force departments to align with University requirements seems to hurt the PoT rather than the departments and so there is very little incentive for the departments to change their expectations. ",6,6,2,"In order to achieve university level standards of research I should only be required to teach 4. However, my department and myself are happy with the 6 teaching load otherwise. ",6,1,,1,,1,,3,,2,,2,,4,"It is too new. Though they are trying, it is a task I am unsure that they are capable of. ",1,,1,,2,4,"Shifting attitudes toward more inclusive pedagogy practices (active learning, alternate grading options, ect....)","My time is largely focused inward. There is not enough time for outward focus. Though I suppose with my pedagogy research the answer would be the same. Shifting attitudes toward more inclusive pedagogy practices (active learning, alternate grading options, ect....)",1,1,,2,6,,2
2021-02-08 10:05:43,2021-02-08 12:01:00,0,100,6916,1,2021-02-08 12:01:00,R_2sXCzjShhWO83Q1,email,EN,2,1,33,4,Molecular biology and Biochemistry,10,70,20,20,70,10,20,70,10,20,70,10,20,60,20,,5,4,1.5,,8,2,,1,,1,,3,,2,,2,,1,,1,,1,,3,2,In campus-wide committees,External organizations,1,2,,2,7,South Asian,2
